TERM,FREQ
download,52
firefox,503
doesn't,1
requirements,8
versions,12
beta,16
android,71
aurora,7
google,37
ios,45
update,30
devices,27
what’s,11
privacy,128
platforms,9
account,23
access,58
bookmarks,26
passwords,31
tabs,20
mobile,50
running,7
sync,61
everywhere,18
you’re,56
latest,28
cutting,3
features,55
release,11
feedback,13
refine,2
polish,2
newest,5
innovations,10
unstable,1
shape,18
are,199
power-user,1
comfortable,3
installing,4
pre-alpha,1
software,30
hunt,1
crashes,3
regressions,3
coded,1
esr,1
intended,4
deploy,1
desktop,33
made,19
volunteers,5
that’s,15
there’s,9
soul,1
developer,35
edition,21
contributions,3
mozilla,367
community,97
warning,1
daily,6
appropriate,8
core,5
contributors,16
adopters,1
regular,1
users,58
fully,2
localized,3
localizations,4
aren’t,1
we’re,34
perfect,5
multi-locale,1
search,40
matching,2
found,6
browser,111
tablets,3
web,298
customize,18
browsing,73
truly,6
trust,18
customizable,2
uniquely,3
smarter,4
sharing,10
adaptive,1
apps,25
faves,2
panels,2
content,23
favorite,11
feeds,1
instagram,1
pocket,1
instantly,2
touch,17
display,2
add,25
hide,3
delete,4
fit,1
engine,5
default,10
matches,1
easily,11
pleasant,1
reader,2
online,132
having,8
settings,14
restart,3
screen,4
video,15
smartphone,14
equipped,1
streaming,2
capabilities,3
info,13
belongs,4
tracking,54
protection,31
browse,15
cookies,15
block,3
hidden,5
parties,12
tap,9
guest,2
you’ll,13
other’s,2
don’t,29
vice,1
versa,1
urls,2
trac,6
enable,14
collected,13
activated,2
won’t,5
accept,3
you’ve,10
tour,6
welcome,8
committed,9
spot,3
closer,5
add-ons,30
it’s,44
fastest,6
flexible,6
older,5
clic,2
easier,9
frequently,3
seamless,3
button,12
location,31
menu,21
vision,8
let’s,4
previous,6
intuitive,3
putting,5
did,7
connect,18
redesigned,3
wild,1
explore,19
isn’t,5
file,8
bug,8
tips,18
filing,1
experimental,4
spin,1
pilot,1
pre-release,10
cutting-edge,5
automatically,11
tweaks,1
functionality,7
stable,2
about-to-be-released,1
incl,1
scale,7
built,18
earliest,1
brand,2
blog,15
apple’s,3
testflight,3
iphone,7
ipad,7
ipod,4
personalize,2
flexibility,1
click,27
awesome,8
dress,2
weather,4
tweet,6
photos,4
speed,10
king,4
faster,10
excels,1
technical,8
benchmarks,1
everyday,3
outperformed,1
independent,12
confidence,3
sacrificing,1
overall,5
gaming,2
aspect,2
limits,3
optimize,1
switching,1
getting,9
mac,9
linux,13
there's,1
date,12
we’ve,6
respect,13
proud,5
internet,209
anywhere,7
was,28
tom’s,1
hardware,3
grand,1
prix,1
xvi,1
quicker,1
simplify,2
arrange,2
tricks,6
time-saving,1
tools,54
bac,1
jump,2
has,60
select,15
drag,3
toolbar,8
magically,2
they’re,7
visible,4
congratulations,1
master,3
customizing,1
earned,2
ensure,19
site,23
who’s,4
lightbeam,34
exposes,1
interact,11
shine,3
secure,12
anti-phishing,1
anti-malware,1
trojan,2
horses,2
spyware,1
potentially,2
fraudulent,1
automatic,1
security,50
greatest,3
fixes,1
connections,2
website,20
faq,4
preference,10
undercover,1
introducing,2
global,36
non-profit,14
dedicated,7
debug,5
leaving,3
workflow,1
inspect,3
valence,3
powerful,6
pre-installed,3
extension,2
pixel-perfect,2
coding,13
target,1
responsive,3
css,8
built-in,3
editor,6
dev,8
extend,2
multiple,9
screenshot,1
visual,5
editing,4
html,15
animations,2
inspector,4
verify,3
alignment,1
dimensions,1
padding,1
element,2
ruler,1
measurement,1
devtools,2
challenger,6
edition’s,1
depths,2
ocean,1
strangest,1
creatures,1
examine,6
content’s,1
frame,1
consumption,1
js,1
profile,15
consolidated,2
timeline,3
troubleshoot,1
bottlenecks,1
changing,2
develop,12
audio,4
api,4
nodes,1
modify,2
layout,3
console,4
logged,1
associated,3
javascript,6
debugger,2
monitor,4
requests,6
stylesheets,1
complete,5
alongside,1
familiar,1
super,2
express,5
tracked,4
status,9
nonprofit,2
making,30
emphasize,1
principle,3
profit,4
resource,17
commodity,1
sold,2
crucial,1
aiming,3
insight,1
advertising,4
applications,7
opt-out,3
behavioral,4
third-party,4
transmitting,1
http,1
header,1
requested,3
behaves,1
swipe,1
pane,2
ads,13
generic,1
solutions,5
replace,1
anti-virus,2
encrypt,4
mechanism,1
interfere,2
zip,1
report,22
personalization,3
repetitive,1
typing,3
macos,4
os,57
companies,26
honor,1
initially,1
actively,9
implement,2
saving,1
managing,2
alex,1
fowler’s,1
mozilla’s,37
donottrackus,1
stanford,2
researchers,3
expression,2
dnt,1
wc,4
editor’s,2
draft,2
compliance,1
scope,2
ghostery,1
forum,5
stanford’s,2
submission,1
ietf,3
define,1
regardless,3
advanced,3
enabling,3
instructions,8
explorer,5
ie,3
’s,1
easiest,1
lineup,1
smart,19
hello,3
digital,42
footprint,3
geolocation,7
location-aware,7
located,1
relevant,7
useful,4
done,4
pizza,2
restaurant,1
further,6
extra,3
mapping,1
somewhere,2
optional,3
doesn’t,5
permission,11
utmost,1
ease,1
adoption,4
consent,4
gathers,1
nearby,2
wireless,5
computer’s,3
ip,5
address,29
provider,9
estimate,2
requesting,3
accurate,1
accuracy,2
varies,1
meters,1
guarantee,2
please,40
emergencies,1
sent,8
extremely,1
random,2
client,5
identifier,1
assigned,1
expires,1
description,4
eg,2
latitude,1
longitude,1
exchanged,1
spy,2
refer,2
website’s,1
am,5
approved,1
undo,1
granted,1
you've,1
given,3
revoke,1
here's,1
navigate,3
identification,1
arrow,1
permanently,1
opt-in,1
disable,7
aboutconfig,1
geoenabled,2
double,2
integrate,3
oops,1
error,3
occurred,2
interrupted,1
supportmozillaorg,1
preview,1
notified,1
launches,1
announcements,10
inbox,15
confirm,7
gearicons,1
icon,3
freedom,19
choosing,4
congrats,2
tune,2
refresh,1
fresh,1
copy,3
quickness,1
localizing,2
upgraded,1
pointers,1
documentation,6
communication,3
channels,4
twitter,10
can’t,17
mdn,1
unexpected,1
compatibility,3
we’d,2
bugzilla,4
karma,1
nightly-community,1
keyword,1
triage,1
unconfirmed,1
triagebot,1
irc,2
experiencing,3
trackers,5
minimize,3
username,1
surprise,1
birthday,2
shield,3
link,12
sorry,4
valid,6
email,74
selection,2
proceeding,2
-digit,1
sms,3
recipient,3
text,4
anytime,1
verification,3
background,5
corner,1
commute,1
here’s,5
desk,1
couch,1
skipping,1
laptop,1
session,2
got,7
fingertips,1
fox,3
world’s,5
mask,2
unleash,4
advocacy,11
rallying,1
allies,5
cultivate,3
aware,3
vital,7
conscious,1
policies,14
incorporates,1
properly,2
diversity,17
simultaneously,1
capacity,2
mobilize,4
organizing,5
communities,22
long-term,3
proactive,2
topic,3
tone,2
conversation,5
promoting,5
reactive,1
undesirable,1
initiatives,10
consists,1
amplify,2
community’s,1
collective,4
tackled,2
era,3
pulse,1
nurture,2
bias,2
mass,4
mobilization,1
creative,12
compelling,1
stories,6
biggest,3
opportunities,22
facing,2
mainstream,2
technologists,2
wonks,1
activists,3
infrastructure,7
foundation,30
fuel,4
wider,1
fellows,1
sustainability,2
vide,7
mozilla‘s,1
hack,2
tinker,2
openness,17
transparency,7
consume,1
tight,1
restrictions,1
unprecedented,2
connectedness,1
healthy,30
empower,4
tomorrow’s,1
webmakers,4
vibrant,1
ecosystem,15
priorities,1
precious,1
mobilizing,5
proprietary,2
gatekeepers,2
world's,3
innovators,2
creators,9
moving,4
educational,3
offerings,2
empowerment,1
unlocking,1
sovereignty,2
native,9
operating,8
embracing,2
held,4
device’s,2
underlying,1
overcomes,1
limitations,1
telefónica,8
viable,4
groundbreaking,1
spurring,1
creativity,10
ubiquitous,1
june,3
rebuilt,1
ui,1
snappy,1
dynamic,2
delivered,1
intent,2
critical,7
layers,1
excited,3
progress,1
seen,3
improvements,4
enhancements,2
we're,4
exciting,2
command,1
tilt,1
experimenting,1
directly,10
endless,3
integrating,1
e-mail,1
finance,1
facebook,7
educators,6
youth,4
media-makers,1
mentors,1
instructors,1
revolutionary,1
popcorn,1
thimble,2
web-literate,4
planet,4
advocating,12
contribute,28
co-founded,1
what-wg,1
kick,1
standardization,1
multi-vendor,1
technologies,11
pioneered,4
submitted,1
bodies,4
interoperable,3
webgl,1
gamepad,1
telephony,1
indexeddb,1
web's,2
locked,1
would-be,1
censors,1
short-sighted,1
legislation,1
reassert,1
importance,3
log,1
correlate,1
implications,1
became,4
manufacturer,2
controlled,1
system-wide,1
user's,1
captures,1
user’s,3
instrumental,1
motivate,2
piracy,1
had,7
gone,2
incredible,1
censorship,1
ramifications,1
weaken,2
internet's,1
discourage,1
worldwide,7
opposition,1
sopapipa,3
came,3
historic,1
protest,1
engage,6
electorate,1
warned,1
ratification,1
anti-counterfeiting,1
acta,4
european,3
parliament,2
post,2
mitchell,2
baker,2
urged,1
policymakers,2
opaque,1
were,9
negotiated,3
involvement,2
stakeholders,2
massive,1
net-savvy,1
europe,6
rejected,1
july,4
unequivocal,1
collusion,7
spider-web,1
interaction,2
flicks,2
brought,1
aspiring,1
filmmakers,3
animators,1
submit,3
fans,1
promoted,1
educated,1
celebrities,1
film-industry,1
regional,3
winners,1
fundamentally,1
essential,9
hackable,1
transparent,8
spanning,1
remarkable,1
responsible,2
hosting,1
hackfests,1
evangelizing,1
reps,6
representatives,2
grown,1
countries,8
execute,1
organizational,3
promotion,2
development,20
organized,3
recruited,1
trained,1
dozens,1
functional,3
mozcamps,5
paid,3
presentations,2
brainstorms,1
sprints,1
hackathons,2
bit,3
leadership,11
year‘s,1
buenos,1
warsaw,1
singapore,1
emerging,3
youngest,1
africa,3
asia,1
invited,1
tunisian,1
kenyan,1
filipino,1
outstanding,1
comprises,1
roughly,1
qa,3
launched,9
myanmar,2
chit,1
contributing,10
viking,1
indonesia,1
led,3
keng,1
kickstarted,1
thai,1
claire,1
bonjour,1
passionate,6
evangelist,1
egypt,1
haitham,1
ioana,1
driving,7
romania,1
brian,1
sat,1
council,3
reviving,1
songay,2
dialect,1
mali,1
mohomodou,1
translated,1
partnerships,12
annual,6
audited,4
participation,19
hire,1
revenue,19
largest,11
december,7
announced,11
mutually,2
beneficial,2
additional,9
operators,5
pdf,1
succeed,3
traits,3
competing,3
chrome's,2
implementation,2
confidentiality,5
oems,2
due,2
numerous,3
arrangements,2
publishers,3
marketplace,11
sopa,1
pipa,1
influence,7
lever,2
advancing,9
percent,3
primarily,2
standards-based,1
we've,2
literate,1
competitors,3
achieves,2
competitive,2
subsidiaries,1
approximately,1
generate,2
commerce,2
bing,5
yahoo,6
yandex,8
amazon,3
ebay,3
corporate,3
donations,4
grants,6
income,3
investable,2
assets,4
exploring,5
diversify,1
we’ll,6
richness,2
confident,5
organization’s,1
differ,2
liberty,2
disclose,2
revenue-sharing,1
traffic,1
bing's,1
russian,1
plug-ins,1
renewal,2
integration,1
telefonica,1
anticipate,3
coming,6
modelrevenue,1
providing,10
forecasts,2
projections,3
creating,23
delivering,4
continually,1
dominant,2
increasingly,3
appstore,1
operatorcarrier,1
os-powered,1
latin,3
deutsche,3
telekom,3
etisalat,2
telecom,3
italia,2
telenor,2
tcl,1
alcatel,2
zte,2
handsets,1
launching,2
developers’,2
discovery,2
distribution,3
monetization,1
direct-to-bill,1
payments,2
guide,5
flagship,2
-star,1
average,2
rating,2
customization,1
sale,4
mid-november,3
adopt,2
multi-year,1
contracts,1
negotiates,1
market-value,1
invests,1
retain,1
landscape,1
expenses,1
cloud,3
upgrades,1
documents,3
went,2
acquisition,1
superior,1
generating,1
demand,2
reasonable,1
contractual,1
carrier,1
subsidies,1
cpu,1
attainable,1
purchase,1
span,1
globe,4
américa,1
móvil,1
china,1
unicom,1
hutchison,1
kddi,1
kt,1
megafon,1
qtel,1
singtel,1
telstra,1
tmn,1
vimpelcom,1
lg,1
fireweb,1
huawei,1
manufacturing,1
foxconn,1
timing,1
dependent,1
lobbying,2
notwithstanding,1
welfare,2
stake,2
cispa,1
surveillance,22
revelations,1
sought,1
taken,4
catalyze,1
grassroots,3
dialogue,1
amongst,1
testified,1
input,2
agencies,2
ngos,1
strengthening,2
acclaimed,1
ponemon,1
institute,1
champions,2
expands,1
pledged,1
connectivity,1
inspiration,1
shaping,3
year’s,1
summit,1
gathered,1
accomplish,1
sample,1
perspectives,5
jay,1
sullivan,1
harvey,1
anderson,1
mark,2
surman,1
johnathan,2
nightingale,2
brendan,1
eich,1
mozillians,23
diverse,7
thinkers,2
builders,2
hackers,3
concept,1
hosted,1
accomplishments,1
celebrating,1
journey,1
promising,1
path,1
releasing,1
percentage,1
donors,2
applied,1
badges,4
mozilla-knight,1
mozilla's,3
accessible,15
manifesto,12
sole,1
shareholder,1
corporation,6
maker,4
functions,1
self-sustaining,1
enterprise,1
reinvested,1
foundation’s,2
agenda,3
identified,3
decentralization,7
literacy,34
inclusion,17
nascent,1
wave,3
wholly,2
subsidiary,2
outlined,2
exploration,1
‘connected,1
devices’,1
rust,4
centre,2
spread,5
participate,17
translating,4
writing,9
referenced,1
licensing,1
trademarks,6
networ,5
meaningfully,1
parallel,1
enhance,3
ownership,2
identities,2
industries,1
entrepreneurs,3
innovate,3
compete,2
flow,2
transfer,1
informed,8
consuming,2
defending,1
subsequently,1
front-and-center,1
weaving,1
stance,2
‘open’,1
thematic,1
‘hubs’,1
expertise,2
hubs,1
librarians,1
transforming,1
women,11
organizers,2
designers,2
provocative,1
prototypes,1
pursues,1
curricula,3
module,1
initiate,1
maximize,2
gigabit,1
convening,1
mozfest,2
membership,1
fellowships,2
downloadable,1
thunderbird,44
abuses,1
governance,4
takedown,1
infringement,1
copyrights,3
acceptable,7
interactive,5
visualizations,3
graphs,2
highlight,1
intentionally,1
disabling,2
uninstalling,1
rely,2
crowd-sourced,2
directory,2
encourage,5
visualize,5
aggregate,1
analyze,2
reset,1
database,3
outreach,2
distinct,2
graphic,2
representations,2
clock,1
adjustable,1
filters,3
glance,1
drilling,1
origins,1
began,1
atul,2
varma,1
inspired,2
bubble,1
february,2
gary,1
kovacs,1
ceo,1
introduced,1
ted,2
exposing,1
september,2
faculty,2
emily,2
carr,2
university,4
engineering,2
nserc,1
re-imagined,1
collaboration,6
larger,5
narrative,1
collects,4
valuable,3
aims,2
awareness,3
ultimately,2
concerted,1
greater,3
promotes,2
broader,4
relevance,1
formats,4
github,4
uploaded,1
opt,2
devoted,1
reducing,1
poverty,1
injustice,1
achievement,1
fostering,3
co-operation,1
sim,1
giving,6
innovative,2
british,1
columbia’s,1
navigation,2
dashboard,1
non-corporate,1
non-compromised,1
donate,8
labs,3
skip,1
press,3
contact,11
y-m-d,1
english,5
mb,1
megabytes,1
otherwise,2
licensed,1
attribution,3
share-alike,1
replay,2
webm,1
ogg,1
theora,1
mpeg-,1
portions,1
©currentyears,1
mozillaorg,4
faceb,3
patents,9
correctly,1
january,1
march,2
april,1
august,1
october,1
november,2
jan,1
feb,1
mar,1
apr,1
jun,2
jul,1
aug,1
sep,1
oct,1
nov,1
dec,2
whoops,2
i’m,14
handling,2
mozilla-related,4
haven’t,3
subscription,5
newsletter,28
spam,6
subscribe,7
spelling,2
typo,1
appreciate,3
broken,1
guidelines,25
constructive,2
manner,1
conduct,8
adhere,1
gender,5
identity,5
marital,1
orientation,1
andor,3
ethnicity,1
socioeconomic,1
religion,1
geographic,1
collaboratively,1
curriculum,1
gain,4
strength,1
collaborate,2
advantage,6
outlines,1
prohibited,1
expectations,1
activities,15
offline,5
contingent,1
limited,3
virtually,2
co-located,1
participating,2
offsites,1
mailing,2
wikis,1
chat,3
person-to-person,1
correspondence,1
conjunction,1
anti-harassmentdiscrimination,3
obligations,1
crafted,1
definitions,1
inclusion@mozillacom,5
specifically,2
aimed,2
inperson,1
anonymous,2
non-mozilla,1
removal,1
realm,1
wide-ranging,1
boundaries,1
respectful,5
viewpoints,1
disagreement,2
excuse,1
possibilities,1
debating,1
merits,1
intense,1
mistakes,1
harmed,1
carefully,2
apologize,1
sincerely,1
criticism,1
disagree,2
cannot,1
withhold,1
harder,3
comments,5
honest,1
inclusive,7
dominating,2
alternative,2
facilitating,1
people’s,4
remote,3
speakers,2
pronouns,2
living,1
zone,1
facilitate,1
argument,1
productive,1
strive,1
winning,1
richer,2
stronger,1
accommodate,1
similarities,1
encompass,1
observances,1
habits,2
clothing,1
attitudes,1
beliefs,2
eliminate,1
prejudices,1
discriminatory,2
others’,1
preferred,1
titles,1
educating,7
unrealistic,1
ethnic,1
one’s,1
outcomes,1
accountable,3
highest,1
tolerated,5
unacceptable,5
incitement,1
encouraging,2
commit,2
self-harm,1
threatening,1
doxxing,1
conflicts,1
inevitably,1
arise,1
frustration,1
insult,1
demean,1
belittle,1
opinions,1
derogatory,3
hurtful,1
harmful,1
attributes,1
deliberately,1
referring,1
legitimacy,1
individual’s,1
unsure,1
repeated,1
subtle,1
indirect,1
discrimination,2
unwelcome,3
sexualized,2
jokes,1
imagery,1
inappropriate,1
groping,1
advances,1
sensitive,3
pregnant,1
stomach,1
mobility,1
wheelchair,1
scooter,1
etc,1
tattoos,2
intimidating,2
simulated,1
emojis,1
kiss,1
affirmative,1
disruptive,1
sustained,1
disruption,1
‘talking,1
over’,1
‘heckling’,1
drinking,1
alcohol,2
excess,2
recreational,1
abstain,1
substances,1
abstinence,1
pressuring,1
jeering,1
influencing,6
crowd,1
hostility,1
consequences,4
decision-making,1
exclude,2
dealt,1
harassmentdiscrimination,1
promptly,1
thoroughly,1
investigated,2
safety,10
comply,1
immediately,1
violation,4
temporarily,2
duration,1
banned,1
perpetuity,1
addition,4
disciplinary,1
termination,1
employment,2
contractors,1
vendors,1
continuation,1
false,1
retaliate,1
designated,3
inclusion@,1
dileaders,1
dirorgdevs,1
receiving,3
concise,1
review,3
investigation,2
consultation,1
colleagues,1
counsel,1
observe,1
dangerous,1
distress,1
unfairly,1
accused,1
violating,1
shall,1
emergency,2
anti-abuse,1
prominently,1
print,1
receipt,1
incident,1
communicated,1
appeal,2
weekday,1
weekend,1
notification,1
distributed,1
attribution-sharealike,1
adapted,1
modifications,1
original,2
ubuntu,1
stumptown,1
syndicate’s,1
lgbtq,1
wiscon,1
anti-harassment,1
netscape,2
suite,2
harness,1
programmers,3
planning,1
expanded,1
project’s,1
netscape’s,1
variety,3
featured,1
phoenix,1
renamed,1
widest,1
took,1
continuing,1
expanding,1
accessibility,4
popularity,1
renewed,1
competition,8
accelerated,1
celebrated,1
anniversary,1
shown,2
collaborating,6
sustainable,2
reused,1
broad,4
equal,4
enjoyable,1
ban,2
posters,1
japanese,2
milestones,1
full-page,1
york,1
continent,2
antarctica,1
chose,1
guinness,1
festival,3
recognition,1
st,1
community-driven,2
tutorials,1
visitors,1
preserve,1
manifest,4
integral,1
lifea,1
component,1
entertainment,1
journalism,2
vp,1
enrich,1
beings,1
healthcare,1
medic,1
individuals’,1
curating,1
effectiveness,1
depends,2
interoperability,9
protocols,1
decentralized,2
remix,2
community-based,2
accountability,2
ambassador,2
balance,3
magnifying,1
worthy,1
commitment,1
mozmanifest,1
donating,2
introduction,1
becoming,1
known,1
world-class,1
distilled,1
articulate,1
framework,1
participatory,1
basic,2
effective,1
embody,1
pledges,1
open-source,2
manifesto’s,2
intellectual,2
reputation,1
discourse,1
activitiescurrently,1
creation,3
delivery,1
productsare,1
invitation,1
invites,1
ramblings,1
logos,1
overview,1
handles,1
upcoming,3
counting,1
game-changers,1
volunteering,2
lending,1
coders,1
spain,3
activism,5
philippines,3
switzerland,4
india,4
you’d,1
dive,1
feedbac,1
iamamozillian,2
blogging,1
eager,1
diagnosing,1
i’d,1
docs,4
hive,2
educatorsmentors,1
thrilled,8
meantime,1
bigger,1
i’ll,1
translation,2
suggestion,1
inf,3
@startmozilla,6
encryption,17
challenging,2
mike,1
conley,1
livehacks,2
crushes,1
unscripted,1
uncensored,1
true-to-life,1
stumbler,5
scanner,1
gps,1
cellular,1
metadata,1
raising,2
taking,3
joy,3
fixing,1
demonstration,1
intro,1
@mikeconley,1
loud,1
webdev,1
map,2
neighborhood,1
they’ve,2
rubén,1
i’ve,2
hispano,2
mentorship,1
faye,1
amazing,2
met,1
womoz,2
passion,1
shreyas,1
mozcafes,2
kidzilla,2
underprivileged,1
avid,1
pr,1
webmaking,1
michael,1
patches,1
teenager,1
hack-a-thons,1
coordinate,1
germany,1
austria,1
advocate,4
behalf,2
fairness,1
lean,3
toolkit,2
safer,5
unlimited,1
possibility,2
sums,1
one-time,1
net,14
neutrality,14
thrive,4
owes,1
surf,1
closing,2
concentrate,1
restrict,2
telcos,1
cable,1
objectives,1
favoring,1
charging,1
depending,1
prohibits,1
discriminating,1
defended,1
enforced,1
legislative,1
enforcement,3
consistent,1
basically,1
invent,1
losing,2
harassed,1
pew,3
tal,1
prospect,1
company’s,1
streamlines,1
enchilada,1
consolidating,1
tech,4
giants,1
disrupt,1
eu,2
atlantic,1
tradeoffs,3
opposing,1
reform,9
championing,2
marginalize,1
chinese,1
spanish,1
arabic,1
portuguese,1
wikipedia,4
blueprint,1
hungry,1
practicing,3
universal,6
welcoming,1
fulfill,1
promise,4
economies,1
fewer,1
men,2
unconscious,1
personalizing,1
algorithms,1
reinforce,1
gifs,1
drastically,1
lowers,1
barriers,2
un,3
nasty,2
unfriendly,1
minorities,1
discouraging,1
cyberbullying,2
cyber,9
bullying,2
coral,1
journalists,1
kit,1
combating,1
affordable,2
high-quality,1
unrestricted,1
emerged,1
subsidized,1
slow,1
‘poor,1
shutdowns,1
accessnow,1
refurbish,2
redistribute,2
underserved,2
reconnect,1
recycling,1
interconnection,1
priority,1
unconnected,2
sponsoring,1
novel,1
irl,2
podcast,3
tricky,1
internet’s,1
shouldn’t,2
privilege,1
transact,3
today’s,1
aka,1
independence,1
threatagain,1
time’s,1
check-up,1
innovating,1
imagining,1
reinventing,1
govern,1
fair,1
servers,1
bots,1
fetch,1
trustworthy,1
repositories,1
openhatch,1
skillset,1
moss,1
reinterpret,1
inspires,1
practical,2
sowing,1
seeds,1
spirit,1
commons-licensed,1
shelving,1
hindered,1
memes,1
intermediaries,1
incentive,1
written,1
misinterpretation,1
exclusive,1
outlive,1
shelf,1
obstacles,1
uncertainty,1
trolls,1
litigation,1
disputes,1
combined,1
unified,1
supreme,1
royalty-free,1
non-exclusive,1
constant,1
deciding,2
clarity,1
lack,1
miles,1
seldom,1
lost,1
acxiom,2
brokers,3
understandable,1
supportive,1
locking,1
cyberattack,1
somehow,1
breaches,3
bare,1
undiscovered,1
theft,1
pins,3
tried,2
-factor,2
authentication,3
prying,2
ears,2
judgment,1
imposed,1
societal,1
wouldn’t,1
shadowing,1
edward,1
snowden,1
disclosures,1
democracies,1
liberties,2
cigi-ipsos,1
recommending,1
vulnerabilities,1
lawmakers,2
rein,1
usa,1
cohosting,1
chatting,1
cultivating,3
citizenship,4
stem,2
math,3
competent,1
frontiers,1
middle-schoolers,1
assessed,1
couldn’t,1
labeled,1
sponsored,1
fake,3
quiz,1
helpful,2
primer,1
ifla,1
x-ray,1
goggles,1
club,3
peers,1
defining,1
foundational,2
taught,1
classroom,2
fluent,1
tracks,1
itu,1
knowledge-sharing,1
politicians,2
crafting,1
threatened,1
indian,1
government’s,2
pricing,1
motherboard,1
legislators,1
healthier,2
exercise,1
deserves,1
reflection,1
nationality,1
lift,1
everyone’s,1
hurting,1
pursuit,1
alive,1
mozilla@emozillaorg,4
unsubscribe,2
subscribing,1
coolest,2
campus,1
affiliates,2
developer's,1
vouched,1
mozilliansorg,1
periodic,1
addons,1
occasional,1
supplied,2
expired,2
updating,1
glad,1
amiss,1
categories,1
minimum,1
i'm,1
lin,1
englishonly,1
maintenance,1
mode,1
unavailable,1
awesomeness,1
recovery,1
super-charge,1
retired,1
relaunched,1
drumbeat,1
newsgroup,1
hands-on,1
forging,1
celebration,1
intel,2
checkup,1
flash,2
quicktime,1
java,1
plugins,21
recommended,4
smoothly,2
unknown,2
adobe,1
apple,1
malware,3
viruses,2
interruptions,1
negatively,1
installed,2
detected,1
caution,1
longer,5
outdated,2
vulnerable,4
dedication,1
accelerator,1
xul-based,1
mozilla-based,1
forever,1
a-frame,2
vr,1
demos,1
programming,1
you'll,1
packed,1
correction,1
proposed,1
ongoing,2
de-identify,1
sensible,1
thoughtful,1
multi-layered,1
verifiable,1
esc,1
debuts,1
gear,3
smarton,2
owner’s,1
manual,1
peeps,1
outfox,1
buff,2
crossing,2
cybersecurity,11
definitely,1
pbs’,1
nova,1
watch-outs,1
glossary,1
nerd,1
techniques,1
stealing,1
cigi,1
ipsos,1
rundown,1
manipulation,1
malicious,1
exploit,1
phishing,4
spamming,1
classic,1
nigerian,1
prince,1
scam,1
skepticism,1
worms,1
infect,1
damage,1
sophisticated,1
hardest,1
attackers,1
pros,1
gut,1
verified,1
suspicious,1
wi-fi,4
snoop,1
deposit,1
two-step,1
-step,1
compromised,1
hassle,1
lifesaver,1
hindsight,1
chec,4
chrome,4
safari,4
handled,1
alarm,1
shortened,1
destination,2
tooltip,1
hovering,1
blast,2
alert,1
airport,1
lesson,3
stakeouts,1
binoculars,1
grabbing,1
haystack,1
needle,1
tailor,1
circumstances,1
users’,2
limiting,1
deleting,2
safeguards,2
warrant,1
judge,1
abused,1
accidentally,1
proposes,1
minimal,1
compromising,1
companies’,1
oversight,1
criminals,1
intelligence,1
violates,1
innocent,1
undermine,1
chris,1
riley,1
secretly,1
react,1
blinds,1
overreaching,1
padlock,1
browser’s,1
cap,1
sticker,1
webcam,1
locks,1
opera,1
scrambling,1
frequency,1
codes,1
authorize,1
filevault,1
mac’s,1
startup,1
dis,1
bitlocker,1
diskcryptor,1
full-disk,1
luks,1
dna,1
lockbox,1
stopped,1
delicious,1
re-tracing,1
documentary,2
donottrack-doccom,1
episode,1
brett,1
gaylor’s,1
typical,1
lunch,1
showtimes,1
camping,2
third-parties,1
separate,2
coincidence,1
advertisers,2
analytics,2
navigating,1
shopping,1
cart,1
exception,1
trade-off,1
anonymized,1
merged,1
identifiable,1
volunteered,1
surprisingly,1
improperly,1
decreased,1
creditworthiness,1
expensive,1
insurance,1
coverage,1
unfavorable,1
instances,1
widespread,1
illustrate,1
boss,1
hand-picked,1
deeper,1
worth,2
insightful,1
login,1
indication,1
overlook,1
unused,1
shuts,1
necessarily,1
exploreredge,1
earlybird,3
stability,1
setup,1
wizard,1
prior,1
imap,1
smtp,1
ssltls,1
wizardry,1
one-click,2
attachment,4
reminder,2
reminds,1
hitting,3
firefox’s,1
tabbed,4
load,1
earlier,1
double-clicking,1
right-clicking,1
folders,5
quitting,1
restored,1
tags,1
interface,1
filtering,2
pinpoint,1
indexes,1
forth,1
archive,6
archiving,1
‘a’,1
personas,1
lightweight,1
famous,1
landmarks,1
combining,1
incoming,1
recommendations,1
robust,1
confidential,1
indicating,1
attempt,1
warns,1
automated,3
thunderbird’s,4
notifies,2
kb,4
junk,3
leading-edge,1
provider’s,1
driven,1
scanning,1
evaluation,1
bolster,1
fortunately,1
survive,2
transitioning,1
fate,1
evolve,1
cross-platform,1
calendaring,1
ad-free,1
top-notch,1
assist,1
eco-system,1
